"PathSelectionPolicy","Cluster","LUN","NameHBA","Host","Status","Path","NAA"
"RoundRobin","TQCLWEB06","2","vmhba3","tqesxsenh126.senha.sat.mx",,,"naa.60000970000195702494533031343336"
"RoundRobin","TQCLWEB06","16","vmhba3","tqesxsenh126.senha.sat.mx",,,"naa.60000970000195702494533033383835"
"RoundRobin","TQCLWEB06","18","vmhba3","tqesxsenh126.senha.sat.mx",,,"naa.60000970000195702494533034414343"
"RoundRobin","TQCLWEB06","11","vmhba3","tqesxsenh126.senha.sat.mx",,,"naa.60000970000195702494533032443434"
"RoundRobin","TQCLWEB06","4","vmhba3","tqesxsenh126.senha.sat.mx",,,"naa.60000970000192605225533043424234"
"RoundRobin","TQCLWEB06","7","vmhba3","tqesxsenh126.senha.sat.mx",,,"naa.60000970000192605225533043424432"
"RoundRobin","TQCLWEB06","9","vmhba3","tqesxsenh126.senha.sat.mx",,,"naa.60000970000195702494533032434334"
"RoundRobin","TQCLWEB06","17","vmhba3","tqesxsenh126.senha.sat.mx",,,"naa.60000970000195702494533033423539"
"RoundRobin","TQCLWEB06","12","vmhba3","tqesxsenh126.senha.sat.mx",,,"naa.60000970000195702494533032453431"
"RoundRobin","TQCLWEB06","14","vmhba3","tqesxsenh126.senha.sat.mx",,,"naa.60000970000195702494533032463943"
"RoundRobin","TQCLWEB06","6","vmhba3","tqesxsenh126.senha.sat.mx",,,"naa.60000970000195702494533031434135"
"RoundRobin","TQCLWEB06","1","vmhba3","tqesxsenh126.senha.sat.mx",,,"naa.60000970000192605225533037313837"
"RoundRobin","TQCLWEB06","5","vmhba3","tqesxsenh126.senha.sat.mx",,,"naa.60000970000192605225533043424245"
"RoundRobin","TQCLWEB06","8","vmhba3","tqesxsenh126.senha.sat.mx",,,"naa.60000970000192605225533043424443"
"RoundRobin","TQCLWEB06","0","vmhba3","tqesxsenh126.senha.sat.mx",,,"naa.60000970000192605225533035454232"
"RoundRobin","TQCLWEB06","13","vmhba3","tqesxsenh126.senha.sat.mx",,,"naa.60000970000195702494533032453442"
"RoundRobin","TQCLWEB06","7","vmhba3","tqesxsenh126.senha.sat.mx",,,"naa.60000970000195702494533031434146"
"RoundRobin","TQCLWEB06","0","vmhba3","tqesxsenh126.senha.sat.mx",,,"naa.60000970000195702494533030464241"
"RoundRobin","TQCLWEB06","4","vmhba3","tqesxsenh126.senha.sat.mx",,,"naa.60000970000195702494533031433931"
"RoundRobin","TQCLWEB06","15","vmhba3","tqesxsenh126.senha.sat.mx",,,"naa.60000970000195702494533032464136"
"RoundRobin","TQCLWEB06","3","vmhba3","tqesxsenh126.senha.sat.mx",,,"naa.60000970000195702494533031344134"
"RoundRobin","TQCLWEB06","6","vmhba3","tqesxsenh126.senha.sat.mx",,,"naa.60000970000192605225533043424338"
"RoundRobin","TQCLWEB06","2","vmhba3","tqesxsenh126.senha.sat.mx",,,"naa.60000970000192605225533037313931"
"RoundRobin","TQCLWEB06","8","vmhba3","tqesxsenh126.senha.sat.mx",,,"naa.60000970000195702494533031434239"
"RoundRobin","TQCLWEB06","3","vmhba3","tqesxsenh126.senha.sat.mx",,,"naa.60000970000192605225533042353739"
"RoundRobin","TQCLWEB06","10","vmhba3","tqesxsenh126.senha.sat.mx",,,"naa.60000970000195702494533032443341"
"RoundRobin","TQCLWEB06","1","vmhba3","tqesxsenh126.senha.sat.mx",,,"naa.60000970000195702494533030464334"
"RoundRobin","TQCLWEB06","5","vmhba3","tqesxsenh126.senha.sat.mx",,,"naa.60000970000195702494533031433942"
"RoundRobin","TQCLWEB06","2","vmhba6","tqesxsenh126.senha.sat.mx",,,"naa.60000970000195702494533031343336"
"RoundRobin","TQCLWEB06","16","vmhba6","tqesxsenh126.senha.sat.mx",,,"naa.60000970000195702494533033383835"
"RoundRobin","TQCLWEB06","18","vmhba6","tqesxsenh126.senha.sat.mx",,,"naa.60000970000195702494533034414343"
"RoundRobin","TQCLWEB06","11","vmhba6","tqesxsenh126.senha.sat.mx",,,"naa.60000970000195702494533032443434"
"RoundRobin","TQCLWEB06","4","vmhba6","tqesxsenh126.senha.sat.mx",,,"naa.60000970000192605225533043424234"
"RoundRobin","TQCLWEB06","7","vmhba6","tqesxsenh126.senha.sat.mx",,,"naa.60000970000192605225533043424432"
"RoundRobin","TQCLWEB06","9","vmhba6","tqesxsenh126.senha.sat.mx",,,"naa.60000970000195702494533032434334"
"RoundRobin","TQCLWEB06","17","vmhba6","tqesxsenh126.senha.sat.mx",,,"naa.60000970000195702494533033423539"
"RoundRobin","TQCLWEB06","12","vmhba6","tqesxsenh126.senha.sat.mx",,,"naa.60000970000195702494533032453431"
"RoundRobin","TQCLWEB06","14","vmhba6","tqesxsenh126.senha.sat.mx",,,"naa.60000970000195702494533032463943"
"RoundRobin","TQCLWEB06","6","vmhba6","tqesxsenh126.senha.sat.mx",,,"naa.60000970000195702494533031434135"
"RoundRobin","TQCLWEB06","1","vmhba6","tqesxsenh126.senha.sat.mx",,,"naa.60000970000192605225533037313837"
"RoundRobin","TQCLWEB06","5","vmhba6","tqesxsenh126.senha.sat.mx",,,"naa.60000970000192605225533043424245"
"RoundRobin","TQCLWEB06","8","vmhba6","tqesxsenh126.senha.sat.mx",,,"naa.60000970000192605225533043424443"
"RoundRobin","TQCLWEB06","0","vmhba6","tqesxsenh126.senha.sat.mx",,,"naa.60000970000192605225533035454232"
"RoundRobin","TQCLWEB06","13","vmhba6","tqesxsenh126.senha.sat.mx",,,"naa.60000970000195702494533032453442"
"RoundRobin","TQCLWEB06","7","vmhba6","tqesxsenh126.senha.sat.mx",,,"naa.60000970000195702494533031434146"
"RoundRobin","TQCLWEB06","0","vmhba6","tqesxsenh126.senha.sat.mx",,,"naa.60000970000195702494533030464241"
"RoundRobin","TQCLWEB06","4","vmhba6","tqesxsenh126.senha.sat.mx",,,"naa.60000970000195702494533031433931"
"RoundRobin","TQCLWEB06","15","vmhba6","tqesxsenh126.senha.sat.mx",,,"naa.60000970000195702494533032464136"
"RoundRobin","TQCLWEB06","3","vmhba6","tqesxsenh126.senha.sat.mx",,,"naa.60000970000195702494533031344134"
"RoundRobin","TQCLWEB06","6","vmhba6","tqesxsenh126.senha.sat.mx",,,"naa.60000970000192605225533043424338"
"RoundRobin","TQCLWEB06","2","vmhba6","tqesxsenh126.senha.sat.mx",,,"naa.60000970000192605225533037313931"
"RoundRobin","TQCLWEB06","8","vmhba6","tqesxsenh126.senha.sat.mx",,,"naa.60000970000195702494533031434239"
"RoundRobin","TQCLWEB06","3","vmhba6","tqesxsenh126.senha.sat.mx",,,"naa.60000970000192605225533042353739"
"RoundRobin","TQCLWEB06","10","vmhba6","tqesxsenh126.senha.sat.mx",,,"naa.60000970000195702494533032443341"
"RoundRobin","TQCLWEB06","1","vmhba6","tqesxsenh126.senha.sat.mx",,,"naa.60000970000195702494533030464334"
"RoundRobin","TQCLWEB06","5","vmhba6","tqesxsenh126.senha.sat.mx",,,"naa.60000970000195702494533031433942"
"RoundRobin","TQCLWEB06","2","vmhba3","tqesxsenh134.senha.sat.mx",,,"naa.60000970000195702494533031343336"
"RoundRobin","TQCLWEB06","16","vmhba3","tqesxsenh134.senha.sat.mx",,,"naa.60000970000195702494533033383835"
"RoundRobin","TQCLWEB06","18","vmhba3","tqesxsenh134.senha.sat.mx",,,"naa.60000970000195702494533034414343"
"RoundRobin","TQCLWEB06","11","vmhba3","tqesxsenh134.senha.sat.mx",,,"naa.60000970000195702494533032443434"
"RoundRobin","TQCLWEB06","4","vmhba3","tqesxsenh134.senha.sat.mx",,,"naa.60000970000192605225533043424234"
"RoundRobin","TQCLWEB06","7","vmhba3","tqesxsenh134.senha.sat.mx",,,"naa.60000970000192605225533043424432"
"RoundRobin","TQCLWEB06","9","vmhba3","tqesxsenh134.senha.sat.mx",,,"naa.60000970000195702494533032434334"
"RoundRobin","TQCLWEB06","17","vmhba3","tqesxsenh134.senha.sat.mx",,,"naa.60000970000195702494533033423539"
"RoundRobin","TQCLWEB06","12","vmhba3","tqesxsenh134.senha.sat.mx",,,"naa.60000970000195702494533032453431"
"RoundRobin","TQCLWEB06","14","vmhba3","tqesxsenh134.senha.sat.mx",,,"naa.60000970000195702494533032463943"
"RoundRobin","TQCLWEB06","6","vmhba3","tqesxsenh134.senha.sat.mx",,,"naa.60000970000195702494533031434135"
"RoundRobin","TQCLWEB06","1","vmhba3","tqesxsenh134.senha.sat.mx",,,"naa.60000970000192605225533037313837"
"RoundRobin","TQCLWEB06","5","vmhba3","tqesxsenh134.senha.sat.mx",,,"naa.60000970000192605225533043424245"
"RoundRobin","TQCLWEB06","8","vmhba3","tqesxsenh134.senha.sat.mx",,,"naa.60000970000192605225533043424443"
"RoundRobin","TQCLWEB06","0","vmhba3","tqesxsenh134.senha.sat.mx",,,"naa.60000970000192605225533035454232"
"RoundRobin","TQCLWEB06","13","vmhba3","tqesxsenh134.senha.sat.mx",,,"naa.60000970000195702494533032453442"
"RoundRobin","TQCLWEB06","7","vmhba3","tqesxsenh134.senha.sat.mx",,,"naa.60000970000195702494533031434146"
"RoundRobin","TQCLWEB06","0","vmhba3","tqesxsenh134.senha.sat.mx",,,"naa.60000970000195702494533030464241"
"RoundRobin","TQCLWEB06","4","vmhba3","tqesxsenh134.senha.sat.mx",,,"naa.60000970000195702494533031433931"
"RoundRobin","TQCLWEB06","15","vmhba3","tqesxsenh134.senha.sat.mx",,,"naa.60000970000195702494533032464136"
"RoundRobin","TQCLWEB06","3","vmhba3","tqesxsenh134.senha.sat.mx",,,"naa.60000970000195702494533031344134"
"RoundRobin","TQCLWEB06","6","vmhba3","tqesxsenh134.senha.sat.mx",,,"naa.60000970000192605225533043424338"
"RoundRobin","TQCLWEB06","2","vmhba3","tqesxsenh134.senha.sat.mx",,,"naa.60000970000192605225533037313931"
"RoundRobin","TQCLWEB06","8","vmhba3","tqesxsenh134.senha.sat.mx",,,"naa.60000970000195702494533031434239"
"RoundRobin","TQCLWEB06","3","vmhba3","tqesxsenh134.senha.sat.mx",,,"naa.60000970000192605225533042353739"
"RoundRobin","TQCLWEB06","10","vmhba3","tqesxsenh134.senha.sat.mx",,,"naa.60000970000195702494533032443341"
"RoundRobin","TQCLWEB06","1","vmhba3","tqesxsenh134.senha.sat.mx",,,"naa.60000970000195702494533030464334"
"RoundRobin","TQCLWEB06","5","vmhba3","tqesxsenh134.senha.sat.mx",,,"naa.60000970000195702494533031433942"
"RoundRobin","TQCLWEB06","2","vmhba6","tqesxsenh134.senha.sat.mx",,,"naa.60000970000195702494533031343336"
"RoundRobin","TQCLWEB06","16","vmhba6","tqesxsenh134.senha.sat.mx",,,"naa.60000970000195702494533033383835"
"RoundRobin","TQCLWEB06","18","vmhba6","tqesxsenh134.senha.sat.mx",,,"naa.60000970000195702494533034414343"
"RoundRobin","TQCLWEB06","11","vmhba6","tqesxsenh134.senha.sat.mx",,,"naa.60000970000195702494533032443434"
"RoundRobin","TQCLWEB06","4","vmhba6","tqesxsenh134.senha.sat.mx",,,"naa.60000970000192605225533043424234"
"RoundRobin","TQCLWEB06","7","vmhba6","tqesxsenh134.senha.sat.mx",,,"naa.60000970000192605225533043424432"
"RoundRobin","TQCLWEB06","9","vmhba6","tqesxsenh134.senha.sat.mx",,,"naa.60000970000195702494533032434334"
"RoundRobin","TQCLWEB06","17","vmhba6","tqesxsenh134.senha.sat.mx",,,"naa.60000970000195702494533033423539"
"RoundRobin","TQCLWEB06","12","vmhba6","tqesxsenh134.senha.sat.mx",,,"naa.60000970000195702494533032453431"
"RoundRobin","TQCLWEB06","14","vmhba6","tqesxsenh134.senha.sat.mx",,,"naa.60000970000195702494533032463943"
"RoundRobin","TQCLWEB06","6","vmhba6","tqesxsenh134.senha.sat.mx",,,"naa.60000970000195702494533031434135"
"RoundRobin","TQCLWEB06","1","vmhba6","tqesxsenh134.senha.sat.mx",,,"naa.60000970000192605225533037313837"
"RoundRobin","TQCLWEB06","5","vmhba6","tqesxsenh134.senha.sat.mx",,,"naa.60000970000192605225533043424245"
"RoundRobin","TQCLWEB06","8","vmhba6","tqesxsenh134.senha.sat.mx",,,"naa.60000970000192605225533043424443"
"RoundRobin","TQCLWEB06","0","vmhba6","tqesxsenh134.senha.sat.mx",,,"naa.60000970000192605225533035454232"
"RoundRobin","TQCLWEB06","13","vmhba6","tqesxsenh134.senha.sat.mx",,,"naa.60000970000195702494533032453442"
"RoundRobin","TQCLWEB06","7","vmhba6","tqesxsenh134.senha.sat.mx",,,"naa.60000970000195702494533031434146"
"RoundRobin","TQCLWEB06","0","vmhba6","tqesxsenh134.senha.sat.mx",,,"naa.60000970000195702494533030464241"
"RoundRobin","TQCLWEB06","4","vmhba6","tqesxsenh134.senha.sat.mx",,,"naa.60000970000195702494533031433931"
"RoundRobin","TQCLWEB06","15","vmhba6","tqesxsenh134.senha.sat.mx",,,"naa.60000970000195702494533032464136"
"RoundRobin","TQCLWEB06","3","vmhba6","tqesxsenh134.senha.sat.mx",,,"naa.60000970000195702494533031344134"
"RoundRobin","TQCLWEB06","6","vmhba6","tqesxsenh134.senha.sat.mx",,,"naa.60000970000192605225533043424338"
"RoundRobin","TQCLWEB06","2","vmhba6","tqesxsenh134.senha.sat.mx",,,"naa.60000970000192605225533037313931"
"RoundRobin","TQCLWEB06","8","vmhba6","tqesxsenh134.senha.sat.mx",,,"naa.60000970000195702494533031434239"
"RoundRobin","TQCLWEB06","3","vmhba6","tqesxsenh134.senha.sat.mx",,,"naa.60000970000192605225533042353739"
"RoundRobin","TQCLWEB06","10","vmhba6","tqesxsenh134.senha.sat.mx",,,"naa.60000970000195702494533032443341"
"RoundRobin","TQCLWEB06","1","vmhba6","tqesxsenh134.senha.sat.mx",,,"naa.60000970000195702494533030464334"
"RoundRobin","TQCLWEB06","5","vmhba6","tqesxsenh134.senha.sat.mx",,,"naa.60000970000195702494533031433942"
"RoundRobin","TQCLWEB06","2","vmhba3","tqesxsenh133.senha.sat.mx",,,"naa.60000970000195702494533031343336"
"RoundRobin","TQCLWEB06","16","vmhba3","tqesxsenh133.senha.sat.mx",,,"naa.60000970000195702494533033383835"
"RoundRobin","TQCLWEB06","18","vmhba3","tqesxsenh133.senha.sat.mx",,,"naa.60000970000195702494533034414343"
"RoundRobin","TQCLWEB06","11","vmhba3","tqesxsenh133.senha.sat.mx",,,"naa.60000970000195702494533032443434"
"RoundRobin","TQCLWEB06","4","vmhba3","tqesxsenh133.senha.sat.mx",,,"naa.60000970000192605225533043424234"
"RoundRobin","TQCLWEB06","7","vmhba3","tqesxsenh133.senha.sat.mx",,,"naa.60000970000192605225533043424432"
"RoundRobin","TQCLWEB06","9","vmhba3","tqesxsenh133.senha.sat.mx",,,"naa.60000970000195702494533032434334"
"RoundRobin","TQCLWEB06","17","vmhba3","tqesxsenh133.senha.sat.mx",,,"naa.60000970000195702494533033423539"
"RoundRobin","TQCLWEB06","12","vmhba3","tqesxsenh133.senha.sat.mx",,,"naa.60000970000195702494533032453431"
"RoundRobin","TQCLWEB06","14","vmhba3","tqesxsenh133.senha.sat.mx",,,"naa.60000970000195702494533032463943"
"RoundRobin","TQCLWEB06","6","vmhba3","tqesxsenh133.senha.sat.mx",,,"naa.60000970000195702494533031434135"
"RoundRobin","TQCLWEB06","1","vmhba3","tqesxsenh133.senha.sat.mx",,,"naa.60000970000192605225533037313837"
"RoundRobin","TQCLWEB06","5","vmhba3","tqesxsenh133.senha.sat.mx",,,"naa.60000970000192605225533043424245"
"RoundRobin","TQCLWEB06","8","vmhba3","tqesxsenh133.senha.sat.mx",,,"naa.60000970000192605225533043424443"
"RoundRobin","TQCLWEB06","0","vmhba3","tqesxsenh133.senha.sat.mx",,,"naa.60000970000192605225533035454232"
"RoundRobin","TQCLWEB06","13","vmhba3","tqesxsenh133.senha.sat.mx",,,"naa.60000970000195702494533032453442"
"RoundRobin","TQCLWEB06","7","vmhba3","tqesxsenh133.senha.sat.mx",,,"naa.60000970000195702494533031434146"
"RoundRobin","TQCLWEB06","0","vmhba3","tqesxsenh133.senha.sat.mx",,,"naa.60000970000195702494533030464241"
"RoundRobin","TQCLWEB06","4","vmhba3","tqesxsenh133.senha.sat.mx",,,"naa.60000970000195702494533031433931"
"RoundRobin","TQCLWEB06","15","vmhba3","tqesxsenh133.senha.sat.mx",,,"naa.60000970000195702494533032464136"
"RoundRobin","TQCLWEB06","3","vmhba3","tqesxsenh133.senha.sat.mx",,,"naa.60000970000195702494533031344134"
"RoundRobin","TQCLWEB06","6","vmhba3","tqesxsenh133.senha.sat.mx",,,"naa.60000970000192605225533043424338"
"RoundRobin","TQCLWEB06","2","vmhba3","tqesxsenh133.senha.sat.mx",,,"naa.60000970000192605225533037313931"
"RoundRobin","TQCLWEB06","8","vmhba3","tqesxsenh133.senha.sat.mx",,,"naa.60000970000195702494533031434239"
"RoundRobin","TQCLWEB06","3","vmhba3","tqesxsenh133.senha.sat.mx",,,"naa.60000970000192605225533042353739"
"RoundRobin","TQCLWEB06","10","vmhba3","tqesxsenh133.senha.sat.mx",,,"naa.60000970000195702494533032443341"
"RoundRobin","TQCLWEB06","1","vmhba3","tqesxsenh133.senha.sat.mx",,,"naa.60000970000195702494533030464334"
"RoundRobin","TQCLWEB06","5","vmhba3","tqesxsenh133.senha.sat.mx",,,"naa.60000970000195702494533031433942"
"RoundRobin","TQCLWEB06","2","vmhba6","tqesxsenh133.senha.sat.mx",,,"naa.60000970000195702494533031343336"
"RoundRobin","TQCLWEB06","16","vmhba6","tqesxsenh133.senha.sat.mx",,,"naa.60000970000195702494533033383835"
"RoundRobin","TQCLWEB06","18","vmhba6","tqesxsenh133.senha.sat.mx",,,"naa.60000970000195702494533034414343"
"RoundRobin","TQCLWEB06","11","vmhba6","tqesxsenh133.senha.sat.mx",,,"naa.60000970000195702494533032443434"
"RoundRobin","TQCLWEB06","4","vmhba6","tqesxsenh133.senha.sat.mx",,,"naa.60000970000192605225533043424234"
"RoundRobin","TQCLWEB06","7","vmhba6","tqesxsenh133.senha.sat.mx",,,"naa.60000970000192605225533043424432"
