"VM","Cluster","ESXi","PortGroup"
"tqjfpproorcl05","TQCLDBX01","tqesxsenh068.senha.sat.mx","vlan937DBX_10.55.254.x"
"tqjfpproorcl05","TQCLDBX01","tqesxsenh068.senha.sat.mx","vlan3020DBX_10.56.241.x"
"tqjfpproorcl01","TQCLDBX01","tqesxsenh066.senha.sat.mx","vlan937DBX_10.55.254.x"
"tqjfpproorcl01","TQCLDBX01","tqesxsenh066.senha.sat.mx","vlan3020DBX_10.56.241.x"
"tqjfpproorcl02","TQCLDBX01","tqesxsenh070.senha.sat.mx","vlan937DBX_10.55.254.x"
"tqjfpproorcl02","TQCLDBX01","tqesxsenh070.senha.sat.mx","vlan3020DBX_10.56.241.x"
"tqjfpproorcl03","TQCLDBX01","tqesxsenh070.senha.sat.mx","vlan937DBX_10.55.254.x"
"tqjfpproorcl03","TQCLDBX01","tqesxsenh070.senha.sat.mx","vlan3020DBX_10.56.241.x"
"tqjfpproemgs02","TQCLDBX01","tqesxsenh074.senha.sat.mx","vlan937DBX_10.55.254.x"
"tqjfpproemgs02","TQCLDBX01","tqesxsenh074.senha.sat.mx","vlan3359DBX_10.56.242.x"
"tqintprosqld02","TQCLDBX01","tqesxsenh074.senha.sat.mx","vlan1177DBX_10.60.171.x"
"tqintprosqld02","TQCLDBX01","tqesxsenh074.senha.sat.mx","vlan1272DBX_10.57.184.x"
"tqintprosqld02","TQCLDBX01","tqesxsenh074.senha.sat.mx","vlan3958DBX_10.56.215.x"
"tqintprofscl01","TQCLDBX05","tqesxsenh090.senha.sat.mx","vlan1790DBX_10.57.25.x"
"tqintprofscl01","TQCLDBX05","tqesxsenh090.senha.sat.mx","vlan3168DBX_10.56.222.x"
"tqintprosqlc02","TQCLDBX01","tqesxsenh075.senha.sat.mx","vlan1177DBX_10.60.171.x"
"tqintprosqlc02","TQCLDBX01","tqesxsenh075.senha.sat.mx","vlan1272DBX_10.57.184.x"
"tqintprosqlc02","TQCLDBX01","tqesxsenh075.senha.sat.mx","vlan3958DBX_10.56.215.x"
"tqintprosqld01","TQCLDBX01","tqesxsenh074.senha.sat.mx","vlan1177DBX_10.60.171.x"
"tqintprosqld01","TQCLDBX01","tqesxsenh074.senha.sat.mx","vlan1272DBX_10.57.184.x"
